Country Name,Date,Case,Death
India,22-01-2020,0,0
India,23-01-2020,0,0
India,24-01-2020,0,0
India,25-01-2020,0,0
India,26-01-2020,0,0
India,27-01-2020,0,0
India,28-01-2020,0,0
India,29-01-2020,0,0
India,30-01-2020,1,0
India,31-01-2020,1,0
India,01-02-2020,1,0
India,02-02-2020,2,0
India,03-02-2020,3,0
India,04-02-2020,3,0
India,05-02-2020,3,0
India,06-02-2020,3,0
India,07-02-2020,3,0
India,08-02-2020,3,0
India,09-02-2020,3,0
India,10-02-2020,3,0
India,11-02-2020,3,0
India,12-02-2020,3,0
India,13-02-2020,3,0
India,14-02-2020,3,0
India,15-02-2020,3,0
India,16-02-2020,3,0
India,17-02-2020,3,0
India,18-02-2020,3,0
India,19-02-2020,3,0
India,20-02-2020,3,0
India,21-02-2020,3,0
India,22-02-2020,3,0
India,23-02-2020,3,0
India,24-02-2020,3,0
India,25-02-2020,3,0
India,26-02-2020,3,0
India,27-02-2020,3,0
India,28-02-2020,3,0
India,29-02-2020,3,0
India,01-03-2020,3,0
India,02-03-2020,5,0
India,03-03-2020,5,0
India,04-03-2020,28,0
India,05-03-2020,30,0
India,06-03-2020,31,0
India,07-03-2020,34,0
India,08-03-2020,39,0
India,09-03-2020,43,0
India,10-03-2020,56,0
India,11-03-2020,62,1
India,12-03-2020,73,1
India,13-03-2020,82,2
India,14-03-2020,102,2
India,15-03-2020,113,2
India,16-03-2020,119,2
India,17-03-2020,142,3
India,18-03-2020,156,3
India,19-03-2020,194,4
India,20-03-2020,244,5
India,21-03-2020,330,4
India,22-03-2020,396,7
India,23-03-2020,499,10
India,24-03-2020,536,10
India,25-03-2020,657,12
India,26-03-2020,727,20
India,27-03-2020,887,20
India,28-03-2020,987,24
India,29-03-2020,1024,27
India,30-03-2020,1251,32
India,31-03-2020,1397,35
India,01-04-2020,1998,58
India,02-04-2020,2543,72
India,03-04-2020,2567,72
India,04-04-2020,3082,86
India,05-04-2020,3588,99
India,06-04-2020,4778,136
India,07-04-2020,5311,150
India,08-04-2020,5916,178
India,09-04-2020,6725,226
India,10-04-2020,7598,246
India,11-04-2020,8446,288
India,12-04-2020,9205,331
India,13-04-2020,10453,358
India,14-04-2020,11487,393
India,15-04-2020,12322,405
India,16-04-2020,13430,448
India,17-04-2020,14352,486
India,18-04-2020,15722,521
India,19-04-2020,17615,559
India,20-04-2020,18539,592
India,21-04-2020,20080,645
India,22-04-2020,21370,681
India,23-04-2020,23077,721
India,24-04-2020,24530,780
India,25-04-2020,26283,825
India,26-04-2020,27890,881
India,27-04-2020,29451,939
India,28-04-2020,31324,1008
India,29-04-2020,33062,1079
India,30-04-2020,34863,1154
India,01-05-2020,37257,1223
India,02-05-2020,39699,1323
India,03-05-2020,42505,1391
India,04-05-2020,46437,1566
India,05-05-2020,49400,1693
India,06-05-2020,52987,1785
India,07-05-2020,56351,1889
India,08-05-2020,59695,1985
India,09-05-2020,62808,2101
India,10-05-2020,67161,2212
India,11-05-2020,70768,2294
India,12-05-2020,74292,2415
India,13-05-2020,78055,2551
India,14-05-2020,81997,2649
India,15-05-2020,85784,2753
India,16-05-2020,90648,2871
India,17-05-2020,95698,3025
India,18-05-2020,100328,3156
India,19-05-2020,106475,3302
India,20-05-2020,112028,3434
India,21-05-2020,118226,3584
India,22-05-2020,124794,3726
India,23-05-2020,131423,3868
India,24-05-2020,138536,4024
India,25-05-2020,144950,4172
India,26-05-2020,150793,4344
India,27-05-2020,158086,4534
India,28-05-2020,165386,4711
India,29-05-2020,173491,4980
India,30-05-2020,181827,5185
India,31-05-2020,190609,5408
India,01-06-2020,198370,5608
India,02-06-2020,207191,5829
India,03-06-2020,216824,6088
India,04-06-2020,226713,6363
India,05-06-2020,236184,6649
India,06-06-2020,246622,6946
India,07-06-2020,257486,7207
India,08-06-2020,265928,7473
India,09-06-2020,276146,7750
India,10-06-2020,286605,8102
India,11-06-2020,297535,8498
India,12-06-2020,308993,8884
India,13-06-2020,320922,9195
India,14-06-2020,332424,9520
India,15-06-2020,343091,9900
India,16-06-2020,354065,11903
India,17-06-2020,366946,12237
India,18-06-2020,380532,12573
India,19-06-2020,395048,12948
India,20-06-2020,410451,13254
India,21-06-2020,425282,13699
India,22-06-2020,440215,14011
India,23-06-2020,456183,14476
India,24-06-2020,473105,14894
India,25-06-2020,490401,15301
India,26-06-2020,508953,15685
India,27-06-2020,528859,16095
India,28-06-2020,548318,16475
India,29-06-2020,566840,16893
India,30-06-2020,585481,17400
India,01-07-2020,604641,17834
India,02-07-2020,625544,18213
India,03-07-2020,648315,18655
India,04-07-2020,673165,19268
India,05-07-2020,697413,19693
India,06-07-2020,719664,20159
India,07-07-2020,742417,20642
India,08-07-2020,767296,21129
India,09-07-2020,793802,21604
India,10-07-2020,820916,22123
India,11-07-2020,849522,22673
India,12-07-2020,878254,23174
India,13-07-2020,906752,23727
India,14-07-2020,936181,24309
India,15-07-2020,968857,24914
India,16-07-2020,1003832,25602
India,17-07-2020,1039084,26273
India,18-07-2020,1077781,26816
India,19-07-2020,1118206,27497
India,20-07-2020,1155338,28082
India,21-07-2020,1193078,28732
India,22-07-2020,1238798,29861
India,23-07-2020,1288108,30601
India,24-07-2020,1337024,31358
India,25-07-2020,1385635,32060
India,26-07-2020,1435616,32771
India,27-07-2020,1480073,33408
