Country Name,Date,Case,Death
Guinea,29-08-2014,648,430
Guinea,05-09-2014,812,517
Guinea,08-09-2014,862,555
Guinea,12-09-2014,861,557
Guinea,16-09-2014,936,595
Guinea,18-09-2014,942,601
Guinea,22-09-2014,1008,632
Guinea,24-09-2014,1022,635
Guinea,26-09-2014,1074,648
Guinea,01-10-2014,1157,710
Guinea,03-10-2014,1199,739
Guinea,08-10-2014,1298,768
Guinea,10-10-2014,1350,778
Guinea,15-10-2014,1472,843
Guinea,17-10-2014,1519,862
Guinea,22-10-2014,1540,904
Guinea,25-10-2014,1553,926
Guinea,29-10-2014,1906,997
Guinea,31-10-2014,1667,1018
Guinea,05-11-2014,1731,1041
Guinea,07-11-2014,1760,1054
Guinea,12-11-2014,1878,1142
Guinea,14-11-2014,1919,1166
Guinea,19-11-2014,1971,1192
Guinea,21-11-2014,2047,1214
Guinea,26-11-2014,2134,1260
Guinea,01-12-2014,2155,1312
Guinea,03-12-2014,2164,1327
Guinea,10-12-2014,2292,1428
Guinea,15-12-2014,2394,1518
Guinea,17-12-2014,2416,1525
Guinea,22-12-2014,2571,1586
Guinea,23-12-2014,2597,1607
Guinea,24-12-2014,2597,1607
Guinea,26-12-2014,2630,1654
Guinea,29-12-2014,2695,1697
Guinea,30-12-2014,2706,1708
Guinea,31-12-2014,2707,1709
Guinea,02-01-2015,2730,1739
Guinea,05-01-2015,2769,1767
Guinea,06-01-2015,2775,1781
Guinea,07-01-2015,2775,1781
Guinea,08-01-2015,2776,1786
Guinea,09-01-2015,2793,1797
Guinea,12-01-2015,2799,1807
Guinea,13-01-2015,2799,1807
Guinea,14-01-2015,2806,1814
Guinea,15-01-2015,2817,1821
Guinea,16-01-2015,2825,1829
Guinea,19-01-2015,2873,1875
Guinea,20-01-2015,2871,1876
Guinea,21-01-2015,2871,1876
Guinea,22-01-2015,2873,1879
Guinea,23-01-2015,2873,1880
Guinea,26-01-2015,2909,1906
Guinea,27-01-2015,2917,1910
Guinea,28-01-2015,2917,1910
Guinea,29-01-2015,2921,1911
Guinea,30-01-2015,2920,1913
Guinea,02-02-2015,2959,1937
Guinea,03-02-2015,2975,1944
Guinea,04-02-2015,2975,1944
Guinea,05-02-2015,2986,1947
Guinea,06-02-2015,2988,1957
Guinea,10-02-2015,3044,1995
Guinea,11-02-2015,3044,1995
