Country Name,Date,Case,Death
Sierra Leone,01-12-2013,10,3
Sierra Leone,08-12-2013,11,3
Sierra Leone,15-12-2013,13,3
Sierra Leone,22-12-2013,15,4
Sierra Leone,29-12-2013,17,5
Sierra Leone,05-01-2014,20,6
Sierra Leone,12-01-2014,23,6
Sierra Leone,19-01-2014,26,7
Sierra Leone,26-01-2014,30,9
Sierra Leone,02-02-2014,35,10
Sierra Leone,09-02-2014,40,12
Sierra Leone,16-02-2014,46,13
Sierra Leone,23-02-2014,53,16
Sierra Leone,02-03-2014,61,18
Sierra Leone,09-03-2014,70,21
Sierra Leone,16-03-2014,81,24
Sierra Leone,23-03-2014,93,28
Sierra Leone,30-03-2014,107,32
Sierra Leone,06-04-2014,123,37
Sierra Leone,13-04-2014,142,42
Sierra Leone,20-04-2014,163,49
Sierra Leone,27-04-2014,188,50
Sierra Leone,04-05-2014,216,52
Sierra Leone,11-05-2014,224,53
Sierra Leone,18-05-2014,234,54
Sierra Leone,25-05-2014,264,56
Sierra Leone,01-06-2014,271,59
Sierra Leone,08-06-2014,282,60
Sierra Leone,15-06-2014,291,61
Sierra Leone,22-06-2014,291,62
Sierra Leone,29-06-2014,299,64
Sierra Leone,06-07-2014,304,67
Sierra Leone,13-07-2014,307,68
Sierra Leone,20-07-2014,309,70
Sierra Leone,27-07-2014,316,82
Sierra Leone,30-07-2014,320,98
Sierra Leone,06-08-2014,500,150
Sierra Leone,13-08-2014,700,250
Sierra Leone,20-08-2014,850,320
Sierra Leone,27-08-2014,950,380
Sierra Leone,29-08-2014,1026,422
Sierra Leone,05-09-2014,1261,491
Sierra Leone,08-09-2014,1361,509
Sierra Leone,12-09-2014,1424,524
Sierra Leone,16-09-2014,1620,562
Sierra Leone,18-09-2014,1673,562
Sierra Leone,22-09-2014,1813,593
Sierra Leone,24-09-2014,1940,597
Sierra Leone,26-09-2014,2021,605
Sierra Leone,01-10-2014,2304,622
Sierra Leone,03-10-2014,2437,623
Sierra Leone,08-10-2014,2789,879
Sierra Leone,10-10-2014,2950,930
Sierra Leone,15-10-2014,3252,1183
Sierra Leone,17-10-2014,3410,1200
Sierra Leone,22-10-2014,3706,1259
Sierra Leone,25-10-2014,3896,1281
Sierra Leone,29-10-2014,4235,1322
Sierra Leone,31-10-2014,4654,1356
Sierra Leone,12-11-2014,4981,1399
Sierra Leone,14-11-2014,5586,1446
Sierra Leone,19-11-2014,6073,1473
Sierra Leone,21-11-2014,6190,1493
Sierra Leone,26-11-2014,6599,1511
Sierra Leone,01-12-2014,7109,1530
Sierra Leone,03-12-2014,7312,1583
Sierra Leone,10-12-2014,7897,1768
Sierra Leone,15-12-2014,8273,2033
Sierra Leone,17-12-2014,8356,2085
Sierra Leone,22-12-2014,8939,2556
Sierra Leone,23-12-2014,9004,2582
Sierra Leone,24-12-2014,9004,2582
Sierra Leone,26-12-2014,9203,2655
Sierra Leone,29-12-2014,9409,2732
Sierra Leone,30-12-2014,9446,2758
Sierra Leone,31-12-2014,9446,2758
Sierra Leone,02-01-2015,9633,2827
Sierra Leone,05-01-2015,9772,2915
Sierra Leone,06-01-2015,9780,2943
Sierra Leone,07-01-2015,9780,2943
Sierra Leone,08-01-2015,10030,2977
Sierra Leone,09-01-2015,10030,2977
Sierra Leone,12-01-2015,10094,3049
Sierra Leone,13-01-2015,10094,3049
Sierra Leone,14-01-2015,10124,3062
Sierra Leone,15-01-2015,10150,3067
Sierra Leone,16-01-2015,10186,3083
Sierra Leone,19-01-2015,10306,3132
Sierra Leone,20-01-2015,10340,3145
Sierra Leone,21-01-2015,10340,3145
Sierra Leone,22-01-2015,10362,3153
Sierra Leone,23-01-2015,10400,3159
Sierra Leone,26-01-2015,10491,3195
Sierra Leone,27-01-2015,10518,3199
Sierra Leone,28-01-2015,10518,3199
Sierra Leone,29-01-2015,10537,3207
Sierra Leone,30-01-2015,10561,3216
Sierra Leone,02-02-2015,10707,3274
Sierra Leone,03-02-2015,10740,3276
Sierra Leone,04-02-2015,10740,3276
Sierra Leone,05-02-2015,10756,3286
Sierra Leone,06-02-2015,10792,3301
Sierra Leone,10-02-2015,10934,3341
Sierra Leone,11-02-2015,10934,3341
Sierra Leone,12-02-2015,10954,3350
Sierra Leone,13-02-2015,10987,3363
Sierra Leone,16-02-2015,11074,3401
Sierra Leone,17-02-2015,11103,3408
Sierra Leone,18-02-2015,11103,3408
Sierra Leone,19-02-2015,11155,3423
Sierra Leone,20-02-2015,11155,3423
Sierra Leone,23-02-2015,11155,3423
Sierra Leone,25-02-2015,11301,3461
Sierra Leone,26-02-2015,11341,3479
Sierra Leone,27-02-2015,11370,3490
Sierra Leone,02-03-2015,11443,3530
Sierra Leone,04-03-2015,11443,3530
Sierra Leone,05-03-2015,11497,3565
Sierra Leone,06-03-2015,11517,3576
Sierra Leone,10-03-2015,11619,3629
Sierra Leone,11-03-2015,11619,3629
Sierra Leone,12-03-2015,11677,3655
Sierra Leone,13-03-2015,11696,3663
Sierra Leone,16-03-2015,11742,3687
Sierra Leone,17-03-2015,11751,3691
Sierra Leone,18-03-2015,11751,3691
Sierra Leone,20-03-2015,11794,3712
Sierra Leone,23-03-2015,11829,3742
Sierra Leone,24-03-2015,11841,3747
Sierra Leone,25-03-2015,11841,3747
Sierra Leone,26-03-2015,11866,3764
Sierra Leone,27-03-2015,11889,3773
Sierra Leone,07-04-2015,12139,3832
Sierra Leone,09-04-2015,12155,3841
Sierra Leone,13-04-2015,12188,3854
Sierra Leone,14-04-2015,12201,3857
Sierra Leone,15-04-2015,12201,3857
Sierra Leone,16-04-2015,12223,3865
Sierra Leone,17-04-2015,12244,3865
Sierra Leone,20-04-2015,12256,3872
Sierra Leone,21-04-2015,12265,3877
Sierra Leone,22-04-2015,12267,3877
Sierra Leone,23-04-2015,12294,3885
Sierra Leone,24-04-2015,12313,3886
Sierra Leone,27-04-2015,12362,3895
Sierra Leone,28-04-2015,12371,3899
Sierra Leone,30-04-2015,12387,3901
Sierra Leone,01-05-2015,12398,3901
Sierra Leone,04-05-2015,12426,3902
Sierra Leone,05-05-2015,12440,3903
Sierra Leone,06-05-2015,12440,3903
Sierra Leone,07-05-2015,12470,3904
Sierra Leone,08-05-2015,12492,3904
Sierra Leone,11-05-2015,12519,3904
Sierra Leone,12-05-2015,12523,3904
Sierra Leone,13-05-2015,12519,3904
Sierra Leone,14-05-2015,12536,3904
Sierra Leone,15-05-2015,12540,3904
Sierra Leone,18-05-2015,12593,3906
Sierra Leone,19-05-2015,12632,3907
Sierra Leone,20-05-2015,12632,3907
Sierra Leone,21-05-2015,12656,3907
Sierra Leone,22-05-2015,12666,3907
Sierra Leone,25-05-2015,12696,3908
Sierra Leone,26-05-2015,12706,3908
Sierra Leone,27-05-2015,12706,3908
Sierra Leone,28-05-2015,12735,3911
Sierra Leone,29-05-2015,12745,3911
Sierra Leone,01-06-2015,12816,3911
Sierra Leone,02-06-2015,12827,3912
Sierra Leone,03-06-2015,12827,3912
Sierra Leone,04-06-2015,12850,3912
Sierra Leone,05-06-2015,12859,3912
Sierra Leone,08-06-2015,12884,3913
Sierra Leone,09-06-2015,12901,3915
Sierra Leone,10-06-2015,12901,3915
Sierra Leone,11-06-2015,12911,3917
Sierra Leone,12-06-2015,12932,3917
Sierra Leone,15-06-2015,12962,3919
Sierra Leone,16-06-2015,12965,3919
Sierra Leone,17-06-2015,12965,3919
Sierra Leone,18-06-2015,12990,3922
Sierra Leone,19-06-2015,13012,3926
Sierra Leone,22-06-2015,13051,3928
Sierra Leone,23-06-2015,13059,3928
Sierra Leone,24-06-2015,13059,3928
Sierra Leone,25-06-2015,13083,3931
Sierra Leone,26-06-2015,13093,3931
Sierra Leone,29-06-2015,13115,3932
Sierra Leone,30-06-2015,13119,3932
Sierra Leone,01-07-2015,13119,3932
Sierra Leone,02-07-2015,13129,3933
Sierra Leone,03-07-2015,13135,3935
Sierra Leone,06-07-2015,13150,3940
Sierra Leone,07-07-2015,13155,3940
Sierra Leone,08-07-2015,13155,3940
Sierra Leone,09-07-2015,13169,3941
Sierra Leone,10-07-2015,13177,3941
Sierra Leone,13-07-2015,13201,3946
Sierra Leone,14-07-2015,13209,3947
Sierra Leone,15-07-2015,13209,3947
Sierra Leone,16-07-2015,13209,3947
Sierra Leone,17-07-2015,13209,3947
Sierra Leone,20-07-2015,13241,3949
Sierra Leone,21-07-2015,13250,3949
Sierra Leone,22-07-2015,13250,3949
Sierra Leone,23-07-2015,13262,3949
Sierra Leone,24-07-2015,13264,3949
Sierra Leone,27-07-2015,13283,3951
Sierra Leone,28-07-2015,13290,3951
