Country Name,Date,Case,Death
Canada,17-03-2003,8,2
Canada,18-03-2003,8,2
Canada,19-03-2003,8,2
Canada,20-03-2003,9,2
Canada,21-03-2003,9,2
Canada,22-03-2003,9,2
Canada,24-03-2003,11,3
Canada,25-03-2003,11,3
Canada,26-03-2003,19,3
Canada,27-03-2003,28,3
Canada,28-03-2003,29,3
Canada,29-03-2003,37,3
Canada,31-03-2003,44,4
Canada,01-04-2003,53,4
Canada,02-04-2003,58,6
Canada,03-04-2003,62,6
Canada,04-04-2003,69,7
Canada,05-04-2003,74,7
Canada,07-04-2003,90,9
Canada,08-04-2003,91,10
Canada,09-04-2003,94,10
Canada,10-04-2003,97,10
Canada,11-04-2003,98,10
Canada,12-04-2003,101,10
Canada,14-04-2003,100,13
Canada,15-04-2003,100,13
Canada,16-04-2003,103,13
Canada,17-04-2003,126,12
Canada,18-04-2003,132,12
Canada,19-04-2003,132,12
Canada,21-04-2003,132,12
Canada,22-04-2003,139,13
Canada,23-04-2003,140,13
Canada,24-04-2003,140,15
Canada,25-04-2003,140,15
Canada,26-04-2003,142,18
Canada,28-04-2003,142,18
Canada,29-04-2003,146,20
Canada,30-04-2003,148,20
Canada,01-05-2003,147,20
Canada,02-05-2003,149,22
Canada,03-05-2003,149,22
Canada,05-05-2003,148,22
Canada,06-05-2003,148,22
Canada,07-05-2003,146,22
Canada,08-05-2003,146,22
Canada,09-05-2003,145,22
Canada,10-05-2003,145,22
Canada,12-05-2003,143,22
Canada,13-05-2003,143,22
Canada,14-05-2003,143,23
Canada,15-05-2003,142,23
Canada,16-05-2003,140,23
Canada,17-05-2003,140,23
Canada,19-05-2003,140,23
Canada,20-05-2003,140,23
Canada,21-05-2003,140,23
Canada,22-05-2003,140,23
Canada,23-05-2003,140,23
Canada,24-05-2003,140,23
Canada,26-05-2003,148,26
Canada,27-05-2003,148,26
Canada,28-05-2003,149,26
Canada,29-05-2003,151,26
Canada,30-05-2003,159,28
Canada,31-05-2003,188,30
Canada,02-06-2003,198,30
Canada,03-06-2003,213,31
Canada,04-06-2003,216,31
Canada,05-06-2003,218,31
Canada,06-06-2003,219,31
Canada,09-06-2003,229,32
Canada,10-06-2003,229,32
Canada,11-06-2003,230,32
Canada,12-06-2003,238,32
Canada,13-06-2003,242,32
Canada,16-06-2003,243,32
Canada,17-06-2003,247,32
Canada,18-06-2003,246,33
Canada,19-06-2003,245,34
Canada,20-06-2003,245,34
Canada,23-06-2003,246,35
Canada,24-06-2003,249,37
Canada,25-06-2003,250,37
Canada,26-06-2003,251,37
Canada,27-06-2003,251,37
Canada,30-06-2003,252,37
Canada,01-07-2003,252,38
Canada,02-07-2003,252,38
Canada,03-07-2003,251,38
Canada,04-07-2003,251,38
Canada,07-07-2003,251,38
Canada,08-07-2003,250,38
Canada,09-07-2003,249,38
Canada,10-07-2003,250,38
Canada,11-07-2003,250,38
