Country Name,Date,Case,Death
Hong Kong,17-03-2003,95,1
Hong Kong,18-03-2003,123,1
Hong Kong,19-03-2003,150,5
Hong Kong,20-03-2003,173,6
Hong Kong,21-03-2003,203,6
Hong Kong,22-03-2003,222,7
Hong Kong,24-03-2003,260,10
Hong Kong,25-03-2003,286,10
Hong Kong,26-03-2003,316,10
Hong Kong,27-03-2003,367,10
Hong Kong,28-03-2003,425,10
Hong Kong,29-03-2003,470,10
Hong Kong,31-03-2003,530,13
Hong Kong,01-04-2003,685,16
Hong Kong,02-04-2003,708,16
Hong Kong,03-04-2003,734,17
Hong Kong,04-04-2003,761,17
Hong Kong,05-04-2003,800,20
Hong Kong,07-04-2003,883,23
Hong Kong,08-04-2003,928,25
Hong Kong,09-04-2003,970,27
Hong Kong,10-04-2003,998,30
Hong Kong,11-04-2003,1059,32
Hong Kong,12-04-2003,1108,35
Hong Kong,14-04-2003,1190,47
Hong Kong,15-04-2003,1232,56
Hong Kong,16-04-2003,1268,61
Hong Kong,17-04-2003,1297,65
Hong Kong,18-04-2003,1358,81
Hong Kong,19-04-2003,1358,81
Hong Kong,21-04-2003,1402,94
Hong Kong,22-04-2003,1434,99
Hong Kong,23-04-2003,1458,105
Hong Kong,24-04-2003,1488,109
Hong Kong,25-04-2003,1510,115
Hong Kong,26-04-2003,1527,121
Hong Kong,28-04-2003,1557,138
Hong Kong,29-04-2003,1572,150
Hong Kong,30-04-2003,1589,157
Hong Kong,01-05-2003,1600,162
Hong Kong,02-05-2003,1611,170
Hong Kong,03-05-2003,1621,179
Hong Kong,05-05-2003,1637,187
Hong Kong,06-05-2003,1646,193
Hong Kong,07-05-2003,1654,204
Hong Kong,08-05-2003,1661,208
Hong Kong,09-05-2003,1667,210
Hong Kong,10-05-2003,1674,212
Hong Kong,12-05-2003,1683,218
Hong Kong,13-05-2003,1689,225
Hong Kong,14-05-2003,1698,227
Hong Kong,15-05-2003,1703,234
Hong Kong,16-05-2003,1706,238
Hong Kong,17-05-2003,1710,243
Hong Kong,19-05-2003,1714,251
Hong Kong,20-05-2003,1718,253
Hong Kong,21-05-2003,1719,255
Hong Kong,22-05-2003,1722,258
Hong Kong,23-05-2003,1724,260
Hong Kong,24-05-2003,1724,262
Hong Kong,26-05-2003,1726,267
Hong Kong,27-05-2003,1728,269
Hong Kong,28-05-2003,1730,270
Hong Kong,29-05-2003,1732,273
Hong Kong,30-05-2003,1736,274
Hong Kong,31-05-2003,1739,278
Hong Kong,02-06-2003,1746,282
Hong Kong,03-06-2003,1747,283
Hong Kong,04-06-2003,1748,283
Hong Kong,05-06-2003,1748,284
Hong Kong,06-06-2003,1750,286
Hong Kong,09-06-2003,1753,288
Hong Kong,10-06-2003,1754,290
Hong Kong,11-06-2003,1754,290
Hong Kong,12-06-2003,1755,291
Hong Kong,13-06-2003,1755,293
Hong Kong,16-06-2003,1755,295
Hong Kong,17-06-2003,1755,295
Hong Kong,18-06-2003,1755,295
Hong Kong,19-06-2003,1755,296
Hong Kong,20-06-2003,1755,296
Hong Kong,23-06-2003,1755,296
Hong Kong,24-06-2003,1755,296
Hong Kong,25-06-2003,1755,296
Hong Kong,26-06-2003,1755,296
Hong Kong,27-06-2003,1755,297
Hong Kong,30-06-2003,1755,298
Hong Kong,01-07-2003,1755,298
Hong Kong,02-07-2003,1755,298
Hong Kong,03-07-2003,1755,298
Hong Kong,04-07-2003,1755,298
Hong Kong,07-07-2003,1755,298
Hong Kong,08-07-2003,1755,298
Hong Kong,09-07-2003,1755,298
Hong Kong,10-07-2003,1755,298
Hong Kong,11-07-2003,1755,298
