Country Name,Date,Case,Death
Singapore,17-03-2003,20,0
Singapore,18-03-2003,23,0
Singapore,19-03-2003,31,0
Singapore,20-03-2003,34,0
Singapore,21-03-2003,39,0
Singapore,22-03-2003,44,0
Singapore,24-03-2003,65,0
Singapore,25-03-2003,69,0
Singapore,26-03-2003,74,1
Singapore,27-03-2003,78,2
Singapore,28-03-2003,86,2
Singapore,29-03-2003,89,2
Singapore,31-03-2003,91,2
Singapore,01-04-2003,92,3
Singapore,02-04-2003,95,4
Singapore,03-04-2003,98,4
Singapore,04-04-2003,100,5
Singapore,05-04-2003,101,6
Singapore,07-04-2003,106,6
Singapore,08-04-2003,113,8
Singapore,09-04-2003,118,9
Singapore,10-04-2003,126,9
Singapore,11-04-2003,133,9
Singapore,12-04-2003,147,9
Singapore,14-04-2003,158,12
Singapore,15-04-2003,162,13
Singapore,16-04-2003,162,13
Singapore,17-04-2003,167,15
Singapore,18-04-2003,177,16
Singapore,19-04-2003,177,16
Singapore,21-04-2003,178,16
Singapore,22-04-2003,186,16
Singapore,23-04-2003,189,17
Singapore,24-04-2003,192,19
Singapore,25-04-2003,195,19
Singapore,26-04-2003,198,21
Singapore,28-04-2003,199,23
Singapore,29-04-2003,201,24
Singapore,30-04-2003,201,24
Singapore,01-05-2003,201,25
Singapore,02-05-2003,203,25
Singapore,03-05-2003,203,25
Singapore,05-05-2003,204,26
Singapore,06-05-2003,204,27
Singapore,07-05-2003,204,27
Singapore,08-05-2003,204,27
Singapore,09-05-2003,204,27
Singapore,10-05-2003,205,27
Singapore,12-05-2003,205,28
Singapore,13-05-2003,205,28
Singapore,14-05-2003,205,28
Singapore,15-05-2003,205,28
Singapore,16-05-2003,205,28
Singapore,17-05-2003,205,28
Singapore,19-05-2003,206,28
Singapore,20-05-2003,206,28
Singapore,21-05-2003,206,28
Singapore,22-05-2003,206,29
Singapore,23-05-2003,206,31
Singapore,24-05-2003,206,31
Singapore,26-05-2003,206,31
Singapore,27-05-2003,206,31
Singapore,28-05-2003,206,31
Singapore,29-05-2003,206,31
Singapore,30-05-2003,206,31
Singapore,31-05-2003,206,31
Singapore,02-06-2003,206,31
Singapore,03-06-2003,206,31
Singapore,04-06-2003,206,31
Singapore,05-06-2003,206,31
Singapore,06-06-2003,206,31
Singapore,09-06-2003,206,31
Singapore,10-06-2003,206,31
Singapore,11-06-2003,206,31
Singapore,12-06-2003,206,31
Singapore,13-06-2003,206,31
Singapore,16-06-2003,206,31
Singapore,17-06-2003,206,31
Singapore,18-06-2003,206,31
Singapore,19-06-2003,206,31
Singapore,20-06-2003,206,31
Singapore,23-06-2003,206,31
Singapore,24-06-2003,206,31
Singapore,25-06-2003,206,31
Singapore,26-06-2003,206,32
Singapore,27-06-2003,206,32
Singapore,30-06-2003,206,32
Singapore,01-07-2003,206,32
Singapore,02-07-2003,206,32
Singapore,03-07-2003,206,32
Singapore,04-07-2003,206,32
Singapore,07-07-2003,206,32
Singapore,08-07-2003,206,32
Singapore,09-07-2003,206,32
Singapore,10-07-2003,206,32
Singapore,11-07-2003,206,32
