Country Name,Date,Case,Death
United States of America,24-04-2009,7,0
United States of America,26-04-2009,20,0
United States of America,27-04-2009,40,0
United States of America,28-04-2009,64,0
United States of America,29-04-2009,91,1
United States of America,30-04-2009,109,1
United States of America,01-05-2009,141,1
United States of America,02-05-2009,160,1
United States of America,03-05-2009,226,1
United States of America,04-05-2009,286,1
United States of America,05-05-2009,403,1
United States of America,06-05-2009,642,2
United States of America,07-05-2009,896,2
United States of America,08-05-2009,896,2
United States of America,09-05-2009,1639,2
United States of America,10-05-2009,2254,2
United States of America,11-05-2009,2532,3
United States of America,12-05-2009,2600,3
United States of America,13-05-2009,3009,3
United States of America,14-05-2009,3352,3
United States of America,15-05-2009,4298,3
United States of America,16-05-2009,4714,4
United States of America,17-05-2009,4714,4
United States of America,18-05-2009,4714,4
United States of America,19-05-2009,5123,5
United States of America,20-05-2009,5469,6
United States of America,21-05-2009,5710,8
United States of America,22-05-2009,5764,9
United States of America,23-05-2009,6552,9
United States of America,25-05-2009,6552,9
United States of America,26-05-2009,6764,10
United States of America,27-05-2009,6764,10
United States of America,29-05-2009,7927,11
United States of America,01-06-2009,8975,15
United States of America,03-06-2009,10053,17
United States of America,05-06-2009,11054,17
United States of America,08-06-2009,13217,27
United States of America,10-06-2009,13217,27
United States of America,11-06-2009,13217,27
United States of America,12-06-2009,13217,27
United States of America,15-06-2009,17855,45
United States of America,17-06-2009,17855,44
United States of America,19-06-2009,17855,44
United States of America,22-06-2009,21449,87
United States of America,24-06-2009,21449,87
United States of America,26-06-2009,21449,87
United States of America,29-06-2009,27717,127
United States of America,01-07-2009,27717,127
United States of America,03-07-2009,33902,170
United States of America,06-07-2009,33902,170
